chassis_option,engine_option,transmission_option,clutch_option,cooling_option,intake_option,exhaust_option,fuel_option,brakes_option,cabin_option,electrical_option,oil_option,rops_option,steering_option,suspension_front_option,suspension_rear_option,speed_kmh,yaw_deg,CD,CL,CY,CM,notes
CHS-A1,ENG-A3,TRN-A3,CLT-A2,COL-A2,INT-A3,EXH-A2,FUL-A1,BRK-A2,CAB-A3,ELE-A1,OIL-A1,ROPS-A2,STR-A1,SFR-A1,SRR-A2,86.9,-2.1,0.5066,0.09,-0.0305,-0.0097,
CHS-A2,ENG-A3,TRN-A2,CLT-A3,COL-A1,INT-A1,EXH-A3,FUL-A1,BRK-A2,CAB-A2,ELE-A2,OIL-A3,ROPS-A2,STR-A3,SFR-A2,SRR-A3,68.2,-6.1,0.4753,0.0748,-0.0584,-0.0164,
CHS-A3,ENG-A3,TRN-A2,CLT-A2,COL-A3,INT-A3,EXH-A2,FUL-A3,BRK-A3,CAB-A3,ELE-A1,OIL-A3,ROPS-A3,STR-A1,SFR-A3,SRR-A2,97.0,1.3,0.5889,0.1102,0.0065,0.0067,
CHS-A1,ENG-A2,TRN-A3,CLT-A2,COL-A1,INT-A3,EXH-A1,FUL-A3,BRK-A3,CAB-A2,ELE-A3,OIL-A2,ROPS-A3,STR-A2,SFR-A1,SRR-A3,89.1,3.6,0.5089,0.0863,0.0416,0.0135,
CHS-A2,ENG-A1,TRN-A3,CLT-A1,COL-A3,INT-A1,EXH-A1,FUL-A2,BRK-A2,CAB-A3,ELE-A3,OIL-A1,NONE,STR-A1,SFR-A2,SRR-A1,80.1,2.8,0.3988,0.0579,-0.0043,-0.0022,
CHS-A2,ENG-A2,TRN-A2,CLT-A1,COL-A3,INT-A3,EXH-A3,FUL-A1,BRK-A3,NONE,ELE-A1,OIL-A1,NONE,STR-A2,SFR-A3,SRR-A1,111.0,4.5,0.2776,-0.028,0.02,0.012,
CHS-A3,ENG-A2,TRN-A3,CLT-A2,COL-A1,INT-A1,EXH-A2,FUL-A2,BRK-A1,CAB-A1,ELE-A3,OIL-A1,ROPS-A1,STR-A3,SFR-A2,SRR-A3,113.6,-14.5,0.4681,0.0863,-0.0534,-0.0183,
CHS-A3,ENG-A1,TRN-A1,CLT-A3,COL-A1,INT-A2,EXH-A2,FUL-A1,BRK-A3,CAB-A1,ELE-A1,OIL-A1,ROPS-A2,STR-A2,SFR-A1,SRR-A3,100.3,0.8,0.4733,0.0817,0.0218,0.0077,
CHS-A2,ENG-A2,TRN-A2,CLT-A1,COL-A3,INT-A3,EXH-A3,FUL-A1,BRK-A3,CAB-A3,ELE-A3,OIL-A2,ROPS-A1,STR-A2,SFR-A3,SRR-A3,86.7,-0.3,0.4638,0.0654,-0.0035,0.0017,
CHS-A3,ENG-A2,TRN-A1,CLT-A1,COL-A2,INT-A3,EXH-A1,FUL-A2,BRK-A1,CAB-A2,ELE-A2,OIL-A3,ROPS-A2,STR-A2,SFR-A1,SRR-A2,74.2,12.7,0.5346,0.0866,0.1268,0.0364,
CHS-A2,ENG-A2,TRN-A3,CLT-A3,COL-A3,INT-A1,EXH-A1,FUL-A1,BRK-A3,CAB-A3,ELE-A3,OIL-A1,ROPS-A2,STR-A2,SFR-A2,SRR-A1,74.8,-0.3,0.4293,0.0716,-0.0159,-0.0029,
CHS-A2,ENG-A1,TRN-A3,CLT-A2,COL-A2,INT-A2,EXH-A2,FUL-A3,BRK-A3,CAB-A2,ELE-A2,OIL-A2,ROPS-A2,STR-A2,SFR-A2,SRR-A1,116.2,7.8,0.4861,0.086,0.102,0.0286,
CHS-A1,ENG-A3,TRN-A1,CLT-A1,COL-A2,INT-A3,EXH-A3,FUL-A3,BRK-A3,CAB-A2,ELE-A1,OIL-A1,ROPS-A2,STR-A2,SFR-A3,SRR-A1,95.0,5.5,0.5386,0.0882,0.0791,0.0255,
CHS-A2,ENG-A2,TRN-A1,CLT-A3,COL-A2,INT-A1,EXH-A1,FUL-A3,BRK-A3,CAB-A2,ELE-A3,OIL-A3,NONE,STR-A3,SFR-A1,SRR-A1,126.2,7.9,0.4025,0.0555,0.0321,0.0099,
CHS-A1,ENG-A1,TRN-A3,CLT-A2,COL-A2,INT-A1,EXH-A3,FUL-A3,BRK-A3,NONE,ELE-A2,OIL-A3,ROPS-A2,STR-A1,SFR-A3,SRR-A3,88.8,4.7,0.334,-0.0179,0.0361,0.0153,
CHS-A3,ENG-A3,TRN-A2,CLT-A1,COL-A1,INT-A1,EXH-A3,FUL-A1,BRK-A1,CAB-A1,ELE-A3,OIL-A2,ROPS-A3,STR-A2,SFR-A2,SRR-A1,86.1,-8.4,0.502,0.0858,-0.0848,-0.0244,
CHS-A3,ENG-A1,TRN-A1,CLT-A2,COL-A2,INT-A2,EXH-A3,FUL-A2,BRK-A1,CAB-A3,ELE-A3,OIL-A1,ROPS-A1,STR-A2,SFR-A3,SRR-A2,99.6,-12.1,0.5065,0.0926,-0.1081,-0.0298,
CHS-A3,ENG-A2,TRN-A2,CLT-A1,COL-A1,INT-A3,EXH-A2,FUL-A3,BRK-A3,CAB-A3,ELE-A1,OIL-A2,ROPS-A1,STR-A1,SFR-A3,SRR-A1,112.7,-3.1,0.5013,0.0873,-0.0209,-0.0063,
CHS-A2,ENG-A3,TRN-A3,CLT-A2,COL-A2,INT-A3,EXH-A1,FUL-A3,BRK-A3,CAB-A1,ELE-A3,OIL-A2,ROPS-A1,STR-A2,SFR-A1,SRR-A1,83.8,13.6,0.4736,0.0473,0.072,0.0244,
CHS-A2,ENG-A2,TRN-A1,CLT-A2,COL-A3,INT-A2,EXH-A2,FUL-A1,BRK-A3,CAB-A3,ELE-A2,OIL-A1,ROPS-A3,STR-A2,SFR-A1,SRR-A3,65.1,0.4,0.5125,0.0925,0.009,0.005,
CHS-A2,ENG-A1,TRN-A1,CLT-A1,COL-A2,INT-A2,EXH-A2,FUL-A2,BRK-A1,CAB-A1,ELE-A1,OIL-A2,ROPS-A2,STR-A3,SFR-A3,SRR-A2,67.2,-3.8,0.4829,0.0763,-0.0603,-0.01,
CHS-A1,ENG-A3,TRN-A3,CLT-A1,COL-A3,INT-A3,EXH-A1,FUL-A3,BRK-A2,CAB-A1,ELE-A2,OIL-A2,ROPS-A1,STR-A1,SFR-A1,SRR-A1,90.4,0.2,0.4408,0.0514,0.0009,0.0033,
CHS-A3,ENG-A2,TRN-A3,CLT-A3,COL-A1,INT-A2,EXH-A1,FUL-A1,BRK-A2,CAB-A1,ELE-A2,OIL-A2,ROPS-A3,STR-A2,SFR-A2,SRR-A2,83.4,10.8,0.5539,0.0926,0.1328,0.05,
CHS-A1,ENG-A2,TRN-A2,CLT-A1,COL-A2,INT-A2,EXH-A2,FUL-A3,BRK-A3,CAB-A3,ELE-A3,OIL-A1,ROPS-A2,STR-A2,SFR-A2,SRR-A2,68.0,-3.2,0.5392,0.0812,-0.0482,-0.008,
CHS-A3,ENG-A1,TRN-A2,CLT-A2,COL-A3,INT-A1,EXH-A2,FUL-A3,BRK-A2,CAB-A1,ELE-A2,OIL-A1,ROPS-A1,STR-A1,SFR-A3,SRR-A2,115.2,-1.0,0.4523,0.0699,-0.0106,0.0013,
CHS-A3,ENG-A2,TRN-A3,CLT-A1,COL-A2,INT-A3,EXH-A3,FUL-A3,BRK-A3,NONE,ELE-A1,OIL-A1,ROPS-A3,STR-A2,SFR-A1,SRR-A3,102.9,-2.7,0.368,0.0027,-0.0299,-0.0078,
CHS-A1,ENG-A2,TRN-A1,CLT-A3,COL-A3,INT-A3,EXH-A3,FUL-A3,BRK-A3,CAB-A3,ELE-A2,OIL-A2,ROPS-A2,STR-A3,SFR-A3,SRR-A3,95.0,-1.4,0.5497,0.0964,-0.0309,-0.0,
CHS-A1,ENG-A3,TRN-A1,CLT-A2,COL-A2,INT-A2,EXH-A2,FUL-A1,BRK-A3,CAB-A2,ELE-A2,OIL-A1,ROPS-A2,STR-A3,SFR-A2,SRR-A2,64.7,-0.2,0.5324,0.0752,-0.0001,0.0021,
CHS-A3,ENG-A1,TRN-A3,CLT-A1,COL-A3,INT-A1,EXH-A2,FUL-A3,BRK-A2,NONE,ELE-A1,OIL-A2,ROPS-A3,STR-A1,SFR-A3,SRR-A3,90.2,-6.6,0.381,-0.0,-0.0652,-0.0193,
CHS-A3,ENG-A1,TRN-A1,CLT-A2,COL-A3,INT-A1,EXH-A3,FUL-A1,BRK-A3,CAB-A1,ELE-A2,OIL-A1,ROPS-A2,STR-A2,SFR-A3,SRR-A2,96.9,2.9,0.4754,0.0758,0.0227,0.0149,
CHS-A3,ENG-A1,TRN-A3,CLT-A3,COL-A2,INT-A3,EXH-A3,FUL-A1,BRK-A3,CAB-A1,ELE-A1,OIL-A1,ROPS-A2,STR-A1,SFR-A2,SRR-A3,69.9,-3.2,0.4944,0.0692,-0.0337,-0.0196,
CHS-A1,ENG-A3,TRN-A1,CLT-A2,COL-A2,INT-A1,EXH-A1,FUL-A2,BRK-A2,CAB-A3,ELE-A2,OIL-A1,ROPS-A2,STR-A1,SFR-A2,SRR-A3,95.4,-1.6,0.4943,0.0818,-0.0104,-0.0083,
CHS-A1,ENG-A3,TRN-A1,CLT-A1,COL-A2,INT-A1,EXH-A2,FUL-A1,BRK-A3,CAB-A2,ELE-A2,OIL-A3,ROPS-A3,STR-A2,SFR-A3,SRR-A3,67.9,0.9,0.5255,0.0796,0.0187,0.0092,
CHS-A3,ENG-A1,TRN-A2,CLT-A1,COL-A3,INT-A3,EXH-A1,FUL-A2,BRK-A1,CAB-A2,ELE-A2,OIL-A1,ROPS-A2,STR-A1,SFR-A1,SRR-A1,116.7,1.2,0.4614,0.0939,0.0097,0.0019,
CHS-A1,ENG-A1,TRN-A1,CLT-A1,COL-A3,INT-A2,EXH-A3,FUL-A2,BRK-A3,CAB-A2,ELE-A2,OIL-A3,ROPS-A2,STR-A3,SFR-A2,SRR-A3,129.0,-12.1,0.5657,0.1046,-0.1411,-0.0524,
CHS-A3,ENG-A1,TRN-A3,CLT-A1,COL-A1,INT-A1,EXH-A3,FUL-A2,BRK-A1,CAB-A3,ELE-A3,OIL-A2,ROPS-A2,STR-A3,SFR-A3,SRR-A2,103.9,4.7,0.4966,0.0996,0.0443,0.0149,
CHS-A2,ENG-A2,TRN-A2,CLT-A2,COL-A3,INT-A1,EXH-A3,FUL-A1,BRK-A3,NONE,ELE-A3,OIL-A3,ROPS-A3,STR-A1,SFR-A3,SRR-A2,75.2,-4.6,0.34,-0.0075,-0.0416,-0.0157,
CHS-A3,ENG-A1,TRN-A3,CLT-A2,COL-A2,INT-A3,EXH-A1,FUL-A1,BRK-A1,CAB-A3,ELE-A2,OIL-A1,ROPS-A1,STR-A1,SFR-A2,SRR-A2,60.0,-8.9,0.4644,0.0717,-0.054,-0.0183,
CHS-A2,ENG-A1,TRN-A3,CLT-A2,COL-A2,INT-A1,EXH-A2,FUL-A3,BRK-A3,CAB-A1,ELE-A2,OIL-A3,ROPS-A2,STR-A3,SFR-A1,SRR-A2,105.9,-15.0,0.4624,0.0814,-0.1289,-0.0337,
CHS-A1,ENG-A1,TRN-A3,CLT-A2,COL-A1,INT-A2,EXH-A3,FUL-A1,BRK-A2,CAB-A1,ELE-A2,OIL-A1,ROPS-A3,STR-A1,SFR-A1,SRR-A2,85.7,-4.1,0.4941,0.0886,-0.0634,-0.0175,
CHS-A3,ENG-A1,TRN-A3,CLT-A3,COL-A1,INT-A2,EXH-A2,FUL-A3,BRK-A1,CAB-A3,ELE-A1,OIL-A2,ROPS-A3,STR-A2,SFR-A1,SRR-A1,122.8,-1.0,0.5159,0.1068,-0.0179,-0.0008,
CHS-A1,ENG-A1,TRN-A2,CLT-A3,COL-A1,INT-A1,EXH-A3,FUL-A3,BRK-A3,CAB-A3,ELE-A2,OIL-A3,ROPS-A1,STR-A3,SFR-A2,SRR-A1,96.2,-0.0,0.3986,0.0826,0.0043,0.0045,
CHS-A1,ENG-A1,TRN-A2,CLT-A3,COL-A3,INT-A1,EXH-A3,FUL-A1,BRK-A2,NONE,ELE-A1,OIL-A2,NONE,STR-A3,SFR-A2,SRR-A2,98.2,-1.0,0.227,-0.0283,0.0045,0.0016,
CHS-A1,ENG-A2,TRN-A1,CLT-A1,COL-A1,INT-A2,EXH-A3,FUL-A2,BRK-A3,CAB-A3,ELE-A2,OIL-A2,ROPS-A3,STR-A1,SFR-A3,SRR-A3,97.6,1.1,0.5571,0.1237,0.0093,0.0069,
CHS-A3,ENG-A3,TRN-A3,CLT-A3,COL-A3,INT-A1,EXH-A2,FUL-A3,BRK-A2,CAB-A3,ELE-A1,OIL-A1,ROPS-A1,STR-A2,SFR-A1,SRR-A2,102.9,2.2,0.4678,0.063,0.0103,0.0038,
CHS-A1,ENG-A3,TRN-A1,CLT-A1,COL-A2,INT-A2,EXH-A3,FUL-A3,BRK-A3,CAB-A1,ELE-A2,OIL-A1,ROPS-A3,STR-A2,SFR-A3,SRR-A1,114.0,0.8,0.5382,0.1001,0.0156,0.002,
CHS-A2,ENG-A3,TRN-A2,CLT-A1,COL-A2,INT-A3,EXH-A1,FUL-A2,BRK-A1,CAB-A1,ELE-A1,OIL-A3,ROPS-A3,STR-A1,SFR-A1,SRR-A3,95.6,-0.6,0.4865,0.0708,-0.0126,-0.0014,
CHS-A1,ENG-A1,TRN-A1,CLT-A3,COL-A3,INT-A3,EXH-A3,FUL-A2,BRK-A1,CAB-A2,ELE-A2,OIL-A3,ROPS-A2,STR-A1,SFR-A3,SRR-A2,68.4,-13.4,0.5426,0.104,-0.1586,-0.0468,
CHS-A2,ENG-A2,TRN-A2,CLT-A2,COL-A1,INT-A3,EXH-A2,FUL-A1,BRK-A2,CAB-A1,ELE-A3,OIL-A2,ROPS-A3,STR-A1,SFR-A2,SRR-A2,101.4,0.3,0.4633,0.0875,-0.0021,0.0011,
CHS-A2,ENG-A1,TRN-A1,CLT-A3,COL-A2,INT-A3,EXH-A3,FUL-A1,BRK-A2,CAB-A1,ELE-A3,OIL-A2,ROPS-A3,STR-A3,SFR-A2,SRR-A1,74.4,-2.4,0.4608,0.0898,-0.0354,-0.0072,
CHS-A1,ENG-A1,TRN-A3,CLT-A2,COL-A3,INT-A2,EXH-A2,FUL-A3,BRK-A1,CAB-A3,ELE-A3,OIL-A1,ROPS-A3,STR-A2,SFR-A1,SRR-A3,99.7,1.9,0.5392,0.0963,0.0264,0.0115,
CHS-A2,ENG-A2,TRN-A2,CLT-A1,COL-A3,INT-A2,EXH-A1,FUL-A2,BRK-A2,CAB-A2,ELE-A1,OIL-A1,ROPS-A1,STR-A3,SFR-A2,SRR-A3,108.8,1.4,0.4442,0.0775,0.012,-0.0,
CHS-A3,ENG-A2,TRN-A2,CLT-A1,COL-A1,INT-A2,EXH-A2,FUL-A3,BRK-A3,CAB-A2,ELE-A1,OIL-A2,ROPS-A1,STR-A1,SFR-A1,SRR-A1,64.3,-8.3,0.5033,0.0696,-0.0554,-0.0224,
CHS-A1,ENG-A3,TRN-A3,CLT-A2,COL-A1,INT-A1,EXH-A1,FUL-A1,BRK-A3,CAB-A2,ELE-A1,OIL-A1,NONE,STR-A2,SFR-A1,SRR-A1,126.0,-6.5,0.4191,0.0684,-0.0226,-0.0122,
CHS-A2,ENG-A3,TRN-A2,CLT-A1,COL-A2,INT-A1,EXH-A1,FUL-A2,BRK-A2,CAB-A2,ELE-A1,OIL-A1,ROPS-A3,STR-A3,SFR-A1,SRR-A3,80.7,-1.0,0.4755,0.0781,-0.0066,-0.0004,
CHS-A3,ENG-A1,TRN-A3,CLT-A3,COL-A1,INT-A2,EXH-A3,FUL-A2,BRK-A2,CAB-A2,ELE-A2,OIL-A2,NONE,STR-A3,SFR-A2,SRR-A2,78.9,5.9,0.478,0.0738,0.0503,0.0115,
CHS-A2,ENG-A3,TRN-A2,CLT-A3,COL-A1,INT-A1,EXH-A1,FUL-A1,BRK-A3,CAB-A1,ELE-A3,OIL-A3,ROPS-A1,STR-A1,SFR-A3,SRR-A2,84.8,10.4,0.4399,0.0748,0.0429,0.0068,
CHS-A3,ENG-A1,TRN-A3,CLT-A3,COL-A2,INT-A3,EXH-A3,FUL-A1,BRK-A3,NONE,ELE-A2,OIL-A3,ROPS-A2,STR-A2,SFR-A1,SRR-A1,63.9,-14.4,0.3514,-0.0136,-0.1374,-0.0422,
CHS-A2,ENG-A3,TRN-A1,CLT-A2,COL-A1,INT-A1,EXH-A1,FUL-A3,BRK-A3,NONE,ELE-A1,OIL-A3,NONE,STR-A1,SFR-A2,SRR-A3,125.9,2.0,0.2582,-0.0239,0.0051,0.0076,
CHS-A2,ENG-A3,TRN-A2,CLT-A1,COL-A3,INT-A3,EXH-A3,FUL-A3,BRK-A2,CAB-A1,ELE-A3,OIL-A1,ROPS-A2,STR-A3,SFR-A3,SRR-A2,68.9,13.5,0.5436,0.0886,0.1591,0.0572,
CHS-A1,ENG-A1,TRN-A3,CLT-A2,COL-A3,INT-A1,EXH-A3,FUL-A3,BRK-A1,NONE,ELE-A1,OIL-A2,ROPS-A3,STR-A1,SFR-A2,SRR-A2,71.8,-12.3,0.3537,-0.009,-0.1195,-0.0287,
CHS-A2,ENG-A1,TRN-A1,CLT-A3,COL-A1,INT-A2,EXH-A2,FUL-A1,BRK-A3,CAB-A1,ELE-A2,OIL-A2,ROPS-A3,STR-A1,SFR-A2,SRR-A2,121.7,-2.1,0.4641,0.0957,-0.0273,-0.0137,
CHS-A3,ENG-A1,TRN-A1,CLT-A2,COL-A1,INT-A1,EXH-A2,FUL-A1,BRK-A2,CAB-A1,ELE-A1,OIL-A1,ROPS-A2,STR-A2,SFR-A1,SRR-A3,65.3,14.3,0.4755,0.1021,0.1317,0.034,
CHS-A2,ENG-A3,TRN-A1,CLT-A3,COL-A2,INT-A1,EXH-A1,FUL-A1,BRK-A2,CAB-A1,ELE-A1,OIL-A2,ROPS-A3,STR-A3,SFR-A3,SRR-A3,78.6,0.1,0.485,0.0636,-0.004,0.0025,
CHS-A2,ENG-A1,TRN-A2,CLT-A3,COL-A3,INT-A3,EXH-A2,FUL-A1,BRK-A1,CAB-A1,ELE-A1,OIL-A3,ROPS-A2,STR-A1,SFR-A2,SRR-A1,81.6,2.3,0.4281,0.0649,0.0318,0.0103,
CHS-A1,ENG-A2,TRN-A2,CLT-A2,COL-A1,INT-A2,EXH-A1,FUL-A2,BRK-A2,CAB-A2,ELE-A1,OIL-A2,ROPS-A2,STR-A1,SFR-A3,SRR-A3,66.8,9.2,0.5361,0.1023,0.1122,0.0344,
CHS-A2,ENG-A3,TRN-A2,CLT-A3,COL-A3,INT-A2,EXH-A3,FUL-A1,BRK-A2,CAB-A2,ELE-A2,OIL-A3,ROPS-A1,STR-A3,SFR-A3,SRR-A3,107.4,-11.4,0.5182,0.0825,-0.0828,-0.03,
CHS-A1,ENG-A1,TRN-A1,CLT-A2,COL-A1,INT-A3,EXH-A2,FUL-A1,BRK-A3,CAB-A1,ELE-A3,OIL-A2,ROPS-A2,STR-A3,SFR-A1,SRR-A1,87.2,-1.1,0.4525,0.0501,-0.0086,-0.0023,
CHS-A3,ENG-A2,TRN-A1,CLT-A2,COL-A1,INT-A1,EXH-A3,FUL-A3,BRK-A3,CAB-A3,ELE-A1,OIL-A1,ROPS-A2,STR-A1,SFR-A2,SRR-A3,121.6,-7.1,0.5014,0.0981,-0.0789,-0.0241,
CHS-A2,ENG-A1,TRN-A2,CLT-A2,COL-A2,INT-A2,EXH-A2,FUL-A3,BRK-A3,CAB-A1,ELE-A1,OIL-A1,ROPS-A2,STR-A3,SFR-A2,SRR-A2,78.9,0.3,0.4681,0.0629,0.0064,0.0083,
CHS-A3,ENG-A2,TRN-A3,CLT-A2,COL-A1,INT-A3,EXH-A1,FUL-A1,BRK-A2,CAB-A3,ELE-A2,OIL-A1,ROPS-A3,STR-A3,SFR-A3,SRR-A1,72.2,-9.0,0.5453,0.1014,-0.1095,-0.0329,
CHS-A1,ENG-A2,TRN-A2,CLT-A2,COL-A3,INT-A2,EXH-A3,FUL-A1,BRK-A3,CAB-A1,ELE-A2,OIL-A2,ROPS-A3,STR-A1,SFR-A2,SRR-A3,98.6,1.2,0.5333,0.0893,0.0149,0.0063,
CHS-A3,ENG-A1,TRN-A1,CLT-A3,COL-A1,INT-A3,EXH-A1,FUL-A2,BRK-A3,CAB-A2,ELE-A1,OIL-A3,ROPS-A1,STR-A1,SFR-A3,SRR-A1,102.1,0.2,0.4389,0.0878,-0.0041,0.0102,
CHS-A3,ENG-A2,TRN-A2,CLT-A2,COL-A2,INT-A2,EXH-A2,FUL-A1,BRK-A2,CAB-A2,ELE-A3,OIL-A3,ROPS-A2,STR-A1,SFR-A1,SRR-A3,130.0,10.2,0.5462,0.1013,0.1227,0.0431,
CHS-A2,ENG-A1,TRN-A2,CLT-A2,COL-A3,INT-A2,EXH-A2,FUL-A2,BRK-A3,CAB-A3,ELE-A3,OIL-A2,ROPS-A1,STR-A3,SFR-A1,SRR-A1,116.4,3.0,0.4334,0.0593,0.0213,0.0013,
CHS-A2,ENG-A2,TRN-A2,CLT-A2,COL-A2,INT-A3,EXH-A1,FUL-A3,BRK-A3,NONE,ELE-A1,OIL-A2,ROPS-A3,STR-A1,SFR-A3,SRR-A3,104.7,2.6,0.3534,-0.0051,0.0298,0.0047,
CHS-A2,ENG-A2,TRN-A2,CLT-A2,COL-A2,INT-A3,EXH-A2,FUL-A2,BRK-A1,CAB-A2,ELE-A3,OIL-A3,ROPS-A3,STR-A3,SFR-A1,SRR-A2,122.3,-3.2,0.4942,0.0834,-0.041,-0.0108,
CHS-A1,ENG-A1,TRN-A1,CLT-A2,COL-A2,INT-A3,EXH-A2,FUL-A1,BRK-A2,NONE,ELE-A1,OIL-A1,ROPS-A2,STR-A3,SFR-A1,SRR-A2,104.4,-0.7,0.311,-0.0121,0.0029,-0.0085,
CHS-A1,ENG-A1,TRN-A3,CLT-A2,COL-A3,INT-A2,EXH-A2,FUL-A2,BRK-A2,CAB-A2,ELE-A1,OIL-A3,ROPS-A1,STR-A2,SFR-A1,SRR-A2,113.0,0.3,0.449,0.0706,0.0018,-0.0022,
CHS-A2,ENG-A2,TRN-A1,CLT-A1,COL-A2,INT-A3,EXH-A3,FUL-A2,BRK-A1,CAB-A1,ELE-A1,OIL-A2,NONE,STR-A2,SFR-A3,SRR-A3,101.7,7.5,0.435,0.062,0.0643,0.0141,
CHS-A2,ENG-A1,TRN-A1,CLT-A1,COL-A3,INT-A1,EXH-A1,FUL-A3,BRK-A1,CAB-A3,ELE-A1,OIL-A1,ROPS-A2,STR-A3,SFR-A1,SRR-A2,121.4,1.5,0.4168,0.0824,0.0215,0.0038,
CHS-A3,ENG-A1,TRN-A1,CLT-A3,COL-A1,INT-A2,EXH-A2,FUL-A2,BRK-A1,CAB-A2,ELE-A2,OIL-A3,ROPS-A1,STR-A3,SFR-A3,SRR-A3,60.7,2.9,0.4994,0.067,0.0174,-0.0004,
CHS-A3,ENG-A3,TRN-A3,CLT-A1,COL-A2,INT-A1,EXH-A1,FUL-A2,BRK-A1,CAB-A3,ELE-A2,OIL-A3,NONE,STR-A2,SFR-A3,SRR-A2,80.7,3.1,0.4733,0.0774,0.0187,0.0029,
CHS-A1,ENG-A1,TRN-A3,CLT-A1,COL-A1,INT-A3,EXH-A3,FUL-A2,BRK-A1,NONE,ELE-A3,OIL-A1,ROPS-A3,STR-A1,SFR-A2,SRR-A3,76.2,-6.1,0.3432,-0.0052,-0.0664,-0.0182,
CHS-A2,ENG-A2,TRN-A3,CLT-A2,COL-A2,INT-A3,EXH-A1,FUL-A1,BRK-A1,CAB-A1,ELE-A1,OIL-A3,ROPS-A3,STR-A2,SFR-A2,SRR-A2,126.9,-0.3,0.4439,0.0801,-0.0011,-0.0046,
CHS-A2,ENG-A3,TRN-A2,CLT-A2,COL-A3,INT-A1,EXH-A1,FUL-A1,BRK-A3,CAB-A3,ELE-A1,OIL-A1,ROPS-A2,STR-A3,SFR-A2,SRR-A3,107.5,1.9,0.4713,0.0924,0.0257,0.0063,
CHS-A3,ENG-A1,TRN-A2,CLT-A2,COL-A1,INT-A2,EXH-A2,FUL-A1,BRK-A1,CAB-A1,ELE-A2,OIL-A1,ROPS-A3,STR-A3,SFR-A3,SRR-A3,100.4,4.4,0.5333,0.0939,0.0694,0.0178,
CHS-A3,ENG-A3,TRN-A1,CLT-A2,COL-A2,INT-A3,EXH-A3,FUL-A3,BRK-A2,CAB-A1,ELE-A3,OIL-A3,ROPS-A1,STR-A3,SFR-A1,SRR-A3,119.4,11.1,0.5059,0.0872,0.0724,0.0219,
CHS-A1,ENG-A3,TRN-A1,CLT-A3,COL-A3,INT-A2,EXH-A2,FUL-A1,BRK-A1,CAB-A2,ELE-A3,OIL-A2,ROPS-A1,STR-A2,SFR-A2,SRR-A2,68.3,7.9,0.5152,0.0687,0.0546,0.0211,
CHS-A1,ENG-A1,TRN-A3,CLT-A3,COL-A3,INT-A2,EXH-A3,FUL-A3,BRK-A1,CAB-A3,ELE-A2,OIL-A2,ROPS-A2,STR-A1,SFR-A1,SRR-A2,83.2,3.0,0.5071,0.0775,0.0364,0.0121,
CHS-A3,ENG-A1,TRN-A1,CLT-A2,COL-A2,INT-A3,EXH-A2,FUL-A3,BRK-A3,CAB-A2,ELE-A1,OIL-A1,NONE,STR-A2,SFR-A1,SRR-A3,112.0,-0.1,0.4638,0.0856,0.0075,0.0014,
CHS-A1,ENG-A3,TRN-A2,CLT-A1,COL-A2,INT-A1,EXH-A3,FUL-A3,BRK-A3,CAB-A1,ELE-A2,OIL-A2,ROPS-A3,STR-A3,SFR-A1,SRR-A2,60.3,1.6,0.5228,0.0584,0.0206,0.0114,
CHS-A1,ENG-A3,TRN-A3,CLT-A1,COL-A3,INT-A1,EXH-A1,FUL-A2,BRK-A3,CAB-A3,ELE-A2,OIL-A3,NONE,STR-A2,SFR-A3,SRR-A3,113.4,-2.4,0.5029,0.0799,-0.0137,-0.0028,
CHS-A2,ENG-A3,TRN-A3,CLT-A3,COL-A3,INT-A2,EXH-A3,FUL-A3,BRK-A2,CAB-A3,ELE-A3,OIL-A3,ROPS-A1,STR-A1,SFR-A3,SRR-A3,80.3,-4.0,0.4956,0.0658,-0.0481,-0.0167,
CHS-A2,ENG-A3,TRN-A1,CLT-A2,COL-A3,INT-A2,EXH-A3,FUL-A3,BRK-A3,CAB-A3,ELE-A3,OIL-A3,NONE,STR-A3,SFR-A2,SRR-A2,116.6,-0.1,0.486,0.0743,-0.0028,-0.0026,
CHS-A1,ENG-A2,TRN-A3,CLT-A2,COL-A1,INT-A1,EXH-A3,FUL-A2,BRK-A1,CAB-A3,ELE-A1,OIL-A2,ROPS-A3,STR-A1,SFR-A3,SRR-A3,111.8,7.3,0.5141,0.1081,0.0919,0.0194,
CHS-A2,ENG-A3,TRN-A3,CLT-A1,COL-A2,INT-A2,EXH-A2,FUL-A3,BRK-A2,NONE,ELE-A1,OIL-A1,ROPS-A3,STR-A1,SFR-A3,SRR-A2,118.1,6.1,0.3831,-0.0089,0.067,0.0196,
CHS-A3,ENG-A1,TRN-A2,CLT-A2,COL-A1,INT-A3,EXH-A1,FUL-A1,BRK-A1,CAB-A3,ELE-A1,OIL-A2,ROPS-A1,STR-A2,SFR-A3,SRR-A2,69.1,-0.1,0.4507,0.0722,-0.004,0.0018,
CHS-A1,ENG-A3,TRN-A3,CLT-A3,COL-A2,INT-A2,EXH-A3,FUL-A3,BRK-A2,CAB-A1,ELE-A3,OIL-A2,ROPS-A2,STR-A1,SFR-A3,SRR-A1,115.0,2.2,0.5231,0.0815,0.0219,0.0152,
