clearance_mm,q_W,T_coolant_C,emissivity,mount_conductance_W_K,T_peak_C,T_wall_C,q_gap_W,q_rad_W,q_mount_W
1.10,180.0,75.0,0.50,0.50,131.7157,93.9553,123.5795,28.0627,28.3578
1.10,180.0,75.0,0.50,1.10,122.8911,90.9150,104.6490,22.6708,52.6802
1.10,180.0,75.0,0.80,0.50,128.8265,94.1358,113.5330,39.5537,26.9132
1.10,180.0,75.0,0.80,1.10,120.8724,91.1925,97.1340,32.4064,50.4596
1.10,210.0,30.0,0.20,0.50,101.5341,51.7791,162.8344,11.3985,35.7670
1.10,210.0,30.0,0.20,1.10,89.5204,48.0659,135.6690,8.8586,65.4724
1.10,210.0,30.0,0.50,0.50,98.0684,51.9957,150.7832,25.1826,34.0342
1.10,210.0,30.0,0.50,1.10,87.2277,48.3812,127.1341,19.9155,62.9505
1.10,210.0,30.0,0.80,0.50,95.3107,52.1681,141.1941,36.1506,32.6554
1.10,210.0,30.0,0.80,1.10,85.3495,48.6394,120.1422,28.9733,60.8845
1.10,210.0,45.0,0.20,0.50,116.1799,66.8013,161.6028,12.8073,35.5899
1.10,210.0,45.0,0.20,1.10,104.2839,63.0985,134.7888,9.9989,65.2123
1.10,210.0,45.0,0.50,0.50,112.3553,67.0403,148.3037,28.0187,33.6777
1.10,210.0,45.0,0.50,1.10,101.7359,63.4488,125.3032,22.2873,62.4095
1.10,210.0,45.0,0.80,0.50,109.3626,67.2273,137.8973,39.9213,32.1813
1.10,210.0,45.0,0.80,1.10,99.6797,63.7315,117.6487,32.2036,60.1477
1.10,210.0,60.0,0.20,0.50,130.8020,81.8249,160.2888,14.3102,35.4010
1.10,210.0,60.0,0.20,1.10,119.0305,78.1333,133.8454,11.2210,64.9336
1.10,210.0,60.0,0.50,0.50,126.6091,82.0869,145.7091,30.9863,33.3046
1.10,210.0,60.0,0.50,1.10,116.2178,78.5201,123.3743,24.7862,61.8395
1.10,210.0,60.0,0.80,0.50,123.3849,82.2884,134.4973,43.8102,31.6924
1.10,210.0,60.0,0.80,1.10,113.9835,78.8273,115.0566,35.5616,59.3818
1.10,210.0,75.0,0.20,0.50,145.4006,96.8500,158.8932,15.9065,35.2003
1.10,210.0,75.0,0.20,1.10,133.7601,93.1705,132.8387,12.5252,64.6361
1.10,210.0,75.0,0.50,0.50,140.8324,97.1355,143.0083,34.0755,32.9162
1.10,210.0,75.0,0.50,1.10,130.6747,93.5947,121.3527,27.4051,61.2422
1.10,210.0,75.0,0.80,0.50,137.3821,97.3511,131.0105,47.7984,31.1911
1.10,210.0,75.0,0.80,1.10,128.2639,93.9262,112.3777,39.0320,58.5902
1.10,240.0,30.0,0.20,0.50,111.5723,54.9017,185.4672,13.7467,40.7861
1.10,240.0,30.0,0.20,1.10,97.9236,50.6605,154.6791,10.6050,74.7159
1.10,240.0,30.0,0.50,0.50,107.4407,55.1600,171.1006,30.1790,38.7203
1.10,240.0,30.0,0.50,1.10,95.2006,51.0349,144.5423,23.7370,71.7207
1.10,240.0,30.0,0.80,0.50,104.1864,55.3634,159.7844,43.1225,37.0932
1.10,240.0,30.0,0.80,1.10,92.9864,51.3394,136.2992,34.4158,69.2850
1.10,240.0,45.0,0.20,0.50,126.1561,69.9277,184.0201,15.4019,40.5781
1.10,240.0,45.0,0.20,1.10,112.6464,65.6986,153.6474,11.9415,74.4111
1.10,240.0,45.0,0.50,0.50,121.6122,70.2117,168.2198,33.4740,38.3061
1.10,240.0,45.0,0.50,1.10,109.6288,66.1135,142.4137,26.4945,71.0917
1.10,240.0,45.0,0.80,0.50,118.0934,70.4317,155.9838,47.4695,36.5467
1.10,240.0,45.0,0.80,1.10,107.2123,66.4458,133.4174,38.1491,68.4335
1.10,240.0,60.0,0.20,0.50,140.7131,84.9554,182.4797,17.1637,40.3566
1.10,240.0,60.0,0.20,1.10,127.3500,80.7394,152.5437,13.3713,74.0850
1.10,240.0,60.0,0.50,0.50,135.7476,85.2658,165.2131,36.9131,37.8738
1.10,240.0,60.0,0.50,1.10,124.0277,81.1962,140.1759,29.3936,70.4305
1.10,240.0,60.0,0.80,0.50,131.9691,85.5019,152.0745,51.9410,35.9846
1.10,240.0,60.0,0.80,1.10,121.4094,81.5562,130.4286,42.0210,67.5503
1.10,240.0,75.0,0.20,0.50,155.2436,99.9848,180.8470,19.0312,40.1218
1.10,240.0,75.0,0.20,1.10,142.0341,95.7828,151.3680,14.8944,73.7376
1.10,240.0,75.0,0.50,0.50,149.8496,100.3219,162.0908,40.4844,37.4248
1.10,240.0,75.0,0.50,1.10,138.3990,96.2826,137.8355,32.4255,69.7389
1.10,240.0,75.0,0.80,0.50,145.8189,100.5738,148.0749,56.5156,35.4095
1.10,240.0,75.0,0.80,1.10,135.5814,96.6701,127.3463,46.0141,66.6396
1.40,120.0,30.0,0.20,0.50,76.9399,42.0663,89.6751,6.8549,23.4700
1.40,120.0,30.0,0.20,1.10,68.0832,39.7636,72.8219,5.2866,41.8915
1.40,120.0,30.0,0.50,0.50,74.3795,42.2263,82.6798,15.1305,22.1898
1.40,120.0,30.0,0.50,1.10,66.4458,39.9887,68.0324,11.8772,40.0903
1.40,120.0,30.0,0.80,0.50,72.3477,42.3533,77.1286,21.6975,21.1739
1.40,120.0,30.0,0.80,1.10,65.1069,40.1728,64.1161,17.2663,38.6175
1.40,120.0,45.0,0.20,0.50,91.6636,57.0835,88.9202,7.7480,23.3318
1.40,120.0,45.0,0.20,1.10,82.9060,54.7879,72.3037,5.9996,41.6966
1.40,120.0,45.0,0.50,0.50,88.8258,57.2609,81.1669,16.9202,21.9129
1.40,120.0,45.0,0.50,1.10,81.0785,55.0392,66.9581,13.3556,39.6863
1.40,120.0,45.0,0.80,0.50,86.6149,57.3991,75.1265,24.0661,20.8075
1.40,120.0,45.0,0.80,1.10,79.6083,55.2414,62.6578,19.2732,38.0691
1.40,120.0,60.0,0.20,0.50,106.3681,72.1020,88.1127,8.7033,23.1840
1.40,120.0,60.0,0.20,1.10,97.7157,69.8141,71.7469,6.7659,41.4872
1.40,120.0,60.0,0.50,0.50,103.2460,72.2971,79.5828,18.7942,21.6230
1.40,120.0,60.0,0.50,1.10,95.6911,70.0925,65.8249,14.9149,39.2602
1.40,120.0,60.0,0.80,0.50,100.8598,72.4463,73.0634,26.5067,20.4299
1.40,120.0,60.0,0.80,1.10,94.0900,70.3126,61.1419,21.3591,37.4990
1.40,120.0,75.0,0.20,0.50,121.0535,87.1217,87.2532,9.7200,23.0267
1.40,120.0,75.0,0.20,1.10,112.5121,84.8421,71.1514,7.5853,41.2633
1.40,120.0,75.0,0.50,0.50,117.6425,87.3348,77.9339,20.7449,21.3212
1.40,120.0,75.0,0.50,1.10,110.2848,85.1483,64.6367,16.5500,38.8133
1.40,120.0,75.0,0.80,0.50,115.0867,87.4946,70.9511,29.0056,20.0433
1.40,120.0,75.0,0.80,1.10,108.5548,85.3862,59.5764,23.5133,36.9103
1.40,150.0,30.0,0.20,0.50,88.5046,45.0935,111.6287,9.1190,29.2523
1.40,150.0,30.0,0.20,1.10,77.5161,42.2165,90.7704,6.9618,52.2678
1.40,150.0,30.0,0.50,0.50,85.1471,45.3033,102.4554,19.9710,27.5735
1.40,150.0,30.0,0.50,1.10,75.3801,42.5102,84.5226,15.5593,49.9181
1.40,150.0,30.0,0.80,0.50,82.5159,45.4678,95.2665,28.4756,26.2579
1.40,150.0,30.0,0.80,1.10,73.6488,42.7483,79.4583,22.5280,48.0136
1.40,150.0,45.0,0.20,0.50,103.1482,60.1157,110.6549,10.2710,29.0741
1.40,150.0,45.0,0.20,1.10,92.2884,57.2478,90.1043,7.8784,52.0173
1.40,150.0,45.0,0.50,0.50,99.4427,60.3473,100.5309,22.2478,27.2213
1.40,150.0,45.0,0.50,1.10,89.9125,57.5745,83.1547,17.4416,49.4037
1.40,150.0,45.0,0.80,0.50,96.5925,60.5255,92.7437,31.4601,25.7962
1.40,150.0,45.0,0.80,1.10,88.0184,57.8350,77.6146,25.0652,47.3203
1.40,150.0,60.0,0.20,0.50,117.7680,75.1395,109.6162,11.4998,28.8840
1.40,150.0,60.0,0.20,1.10,107.0442,72.2814,89.3901,8.8613,51.7487
1.40,150.0,60.0,0.50,0.50,113.7075,75.3933,98.5222,24.6241,26.8537
1.40,150.0,60.0,0.50,1.10,104.4205,72.6422,81.7157,19.4218,48.8626
1.40,150.0,60.0,0.80,0.50,110.6440,75.5847,90.1525,34.5255,25.3220
1.40,150.0,60.0,0.80,1.10,102.3650,72.9248,75.7034,27.6951,46.6015
1.40,150.0,75.0,0.20,0.50,132.3644,90.1647,108.5136,12.8042,28.6822
1.40,150.0,75.0,0.20,1.10,121.7836,87.3172,88.6279,9.9101,51.4620
1.40,150.0,75.0,0.50,0.50,127.9444,90.4410,96.4374,27.0904,26.4722
1.40,150.0,75.0,0.50,1.10,118.9059,87.7129,80.2105,21.4930,48.2965
1.40,150.0,75.0,0.80,0.50,124.6758,90.6453,87.5072,37.6549,24.8379
1.40,150.0,75.0,0.80,1.10,116.6919,88.0174,73.7346,30.4043,45.8611
1.40,180.0,30.0,0.20,0.50,99.9941,48.1254,133.3768,11.6261,34.9971
1.40,180.0,30.0,0.20,1.10,86.9106,44.6748,108.6065,8.7919,62.6017
1.40,180.0,30.0,0.50,0.50,95.7768,48.3890,121.8544,25.2572,32.8884
1.40,180.0,30.0,0.50,1.10,84.2394,45.0421,100.7932,19.5435,59.6634
1.40,180.0,30.0,0.80,0.50,92.5133,48.5929,112.9382,35.8051,31.2567
1.40,180.0,30.0,0.80,1.10,82.0935,45.3371,94.5164,28.1807,57.3029
1.40,180.0,45.0,0.20,0.50,114.5534,63.1529,132.1728,13.0505,34.7767
1.40,180.0,45.0,0.20,1.10,101.6299,59.7134,107.7852,9.9219,62.2929
1.40,180.0,45.0,0.50,0.50,109.9180,63.4426,119.5082,28.0328,32.4590
1.40,180.0,45.0,0.50,1.10,98.6685,60.1206,99.1232,21.8414,59.0354
1.40,180.0,45.0,0.80,0.50,106.3982,63.6626,109.8916,39.4092,30.6991
1.40,180.0,45.0,0.80,1.10,96.3294,60.4422,92.2814,31.2563,56.4623
1.40,180.0,60.0,0.20,0.50,129.0847,78.1822,130.8920,14.5656,34.5423
1.40,180.0,60.0,0.20,1.10,116.3295,74.7547,106.9065,11.1311,61.9624
1.40,180.0,60.0,0.50,0.50,124.0245,78.4985,117.0669,30.9208,32.0122
1.40,180.0,60.0,0.50,1.10,113.0694,75.2030,97.3708,24.2528,58.3763
1.40,180.0,60.0,0.80,0.50,120.2564,78.7340,106.7720,43.0998,30.1282
1.40,180.0,60.0,0.80,1.10,110.5394,75.5508,89.9706,34.4360,55.5933
1.40,180.0,75.0,0.20,0.50,143.5883,93.2132,129.5358,16.1700,34.2941
1.40,180.0,75.0,0.20,1.10,131.0095,89.7987,105.9707,12.4188,61.6105
1.40,180.0,75.0,0.50,0.50,138.0998,93.5563,114.5405,33.9096,31.5499
1.40,180.0,75.0,0.50,1.10,127.4442,90.2889,95.5422,26.7692,57.6886
1.40,180.0,75.0,0.80,0.50,134.0940,93.8066,103.5961,46.8569,29.5470
1.40,180.0,75.0,0.80,1.10,124.7276,90.6625,87.5961,37.7036,54.7004
1.40,210.0,30.0,0.20,0.50,111.4051,51.1622,154.9103,14.3871,40.7025
1.40,210.0,30.0,0.20,1.10,96.2650,47.1386,126.3252,10.7832,72.8915
1.40,210.0,30.0,0.50,0.50,106.2660,51.4834,140.8696,30.9974,38.1330
1.40,210.0,30.0,0.50,1.10,93.0218,47.5845,116.8389,23.8371,69.3240
1.40,210.0,30.0,0.80,0.50,102.3398,51.7288,130.1427,43.6874,36.1699
1.40,210.0,30.0,0.80,1.10,90.4400,47.9395,109.2869,34.2291,66.4840
1.40,210.0,45.0,0.20,0.50,125.8762,66.1952,153.4652,16.0967,40.4381
1.40,210.0,45.0,0.20,1.10,110.9288,62.1848,125.3418,12.1365,72.5217
1.40,210.0,45.0,0.50,0.50,120.2499,66.5469,138.0936,34.2815,37.6250
1.40,210.0,45.0,0.50,1.10,107.3450,62.6776,114.8590,26.5616,68.5794
1.40,210.0,45.0,0.80,0.50,116.0327,66.8105,126.5716,47.9120,35.5164
1.40,210.0,45.0,0.80,1.10,104.5405,63.0632,106.6558,37.8497,65.4945
1.40,210.0,60.0,0.20,0.50,140.3150,81.2303,151.9320,17.9105,40.1575
1.40,210.0,60.0,0.20,1.10,125.5698,77.2341,124.2917,13.5815,72.1268
1.40,210.0,60.0,0.50,0.50,134.1958,81.6128,135.2135,37.6886,37.0979
1.40,210.0,60.0,0.50,1.10,121.6364,77.7750,112.7865,29.4135,67.8000
1.40,210.0,60.0,0.80,0.50,129.6982,81.8939,122.9254,52.2255,34.8491
1.40,210.0,60.0,0.80,1.10,118.6128,78.1907,103.9425,41.5833,64.4741
1.40,210.0,75.0,0.20,0.50,154.7222,96.2674,150.3125,19.8264,39.8611
1.40,210.0,75.0,0.20,1.10,140.1883,92.2866,123.1756,15.1173,71.7071
1.40,210.0,75.0,0.50,0.50,148.1078,96.6808,132.2410,41.2051,36.5539
1.40,210.0,75.0,0.50,1.10,135.8987,92.8764,110.6287,32.3827,66.9886
1.40,210.0,75.0,0.80,0.50,143.3430,96.9786,119.2230,56.6055,34.1715
1.40,210.0,75.0,0.80,1.10,132.6618,93.3215,101.1608,45.4112,63.4280
1.40,240.0,30.0,0.20,0.50,122.7343,54.2041,176.2205,17.4123,46.3672
1.40,240.0,30.0,0.20,1.10,105.5778,49.6081,143.9221,12.9424,83.1355
1.40,240.0,30.0,0.50,0.50,116.6127,54.5867,159.4953,37.1983,43.3063
1.40,240.0,30.0,0.50,1.10,101.7257,50.1377,132.6548,28.4470,78.8983
1.40,240.0,30.0,0.80,0.50,111.9955,54.8753,146.8807,52.1216,40.9978
1.40,240.0,30.0,0.80,1.10,98.6872,50.5555,123.7673,40.6768,75.5559
1.40,240.0,45.0,0.20,0.50,137.1133,69.2429,174.5239,19.4194,46.0567
1.40,240.0,45.0,0.20,1.10,120.1837,64.6622,142.7695,14.5284,82.7021
1.40,240.0,45.0,0.50,0.50,130.4369,69.6602,156.2830,40.9986,42.7185
1.40,240.0,45.0,0.50,1.10,115.9404,65.2457,130.3579,31.6077,78.0345
1.40,240.0,45.0,0.80,0.50,125.4970,69.9689,142.7864,56.9651,40.2485
1.40,240.0,45.0,0.80,1.10,112.6511,65.6980,120.7365,44.8473,74.4162
1.40,240.0,60.0,0.20,0.50,151.4562,84.2840,172.7284,21.5435,45.7281
1.40,240.0,60.0,0.20,1.10,134.7638,79.7200,141.5414,16.2184,82.2402
1.40,240.0,60.0,0.50,0.50,144.2205,84.7362,152.9594,44.9303,42.1102
1.40,240.0,60.0,0.50,1.10,130.1204,80.3584,127.9592,34.9084,77.1324
1.40,240.0,60.0,0.80,0.50,138.9710,85.0643,138.6171,61.8974,39.4855
1.40,240.0,60.0,0.80,1.10,126.5851,80.8445,117.6187,49.1377,73.2437
1.40,240.0,75.0,0.20,0.50,165.7636,99.3273,170.8363,23.7819,45.3818
1.40,240.0,75.0,0.20,1.10,149.3184,94.7812,140.2385,18.0112,81.7503
1.40,240.0,75.0,0.50,0.50,157.9683,99.8145,149.5383,48.9776,41.4841
1.40,240.0,75.0,0.50,1.10,144.2685,95.4756,125.4675,38.3371,76.1954
1.40,240.0,75.0,0.80,0.50,152.4252,100.1609,134.3939,66.8935,38.7126
1.40,240.0,75.0,0.80,1.10,140.4948,95.9945,114.4293,53.5264,72.0442
1.70,120.0,30.0,0.20,0.50,82.2253,41.7359,85.7421,8.1452,26.1126
1.70,120.0,30.0,0.20,1.10,71.5138,39.2919,68.2346,6.1002,45.6651
1.70,120.0,30.0,0.50,0.50,78.7654,41.9522,77.9574,17.6599,24.3827
1.70,120.0,30.0,0.50,1.10,69.3922,39.5836,63.1241,13.5445,43.3314
1.70,120.0,30.0,0.80,0.50,76.0999,42.1188,71.9602,24.9899,23.0500
1.70,120.0,30.0,0.80,1.10,67.6924,39.8173,59.0296,19.5087,41.4616
1.70,120.0,45.0,0.20,0.50,96.8491,56.7594,84.8958,9.1797,25.9246
1.70,120.0,45.0,0.20,1.10,86.2830,54.3236,67.6787,6.9100,45.4113
1.70,120.0,45.0,0.50,0.50,93.0371,56.9977,76.3187,19.6628,24.0185
1.70,120.0,45.0,0.50,1.10,83.9248,54.6478,61.9982,15.1845,42.8173
1.70,120.0,45.0,0.80,0.50,90.1597,57.1775,69.8445,27.5757,22.5798
1.70,120.0,45.0,0.80,1.10,82.0692,54.9030,57.5285,21.6953,40.7761
1.70,120.0,60.0,0.20,0.50,111.4484,71.7845,83.9942,10.2816,25.7242
1.70,120.0,60.0,0.20,1.10,101.0357,69.3576,67.0830,7.7778,45.1392
1.70,120.0,60.0,0.50,0.50,107.2795,72.0450,74.6143,21.7460,23.6398
1.70,120.0,60.0,0.50,1.10,98.4342,69.7153,60.8165,16.9058,42.2776
1.70,120.0,60.0,0.80,0.50,104.1985,72.2376,67.6820,30.2188,22.0993
1.70,120.0,60.0,0.80,1.10,96.4255,69.9915,55.9778,23.9541,40.0680
1.70,120.0,75.0,0.20,0.50,126.0237,86.8110,83.0386,11.4495,25.5118
1.70,120.0,75.0,0.20,1.10,115.7720,84.3939,66.4478,8.7030,44.8492
1.70,120.0,75.0,0.50,0.50,121.4964,87.0940,72.8521,23.8997,23.2482
1.70,120.0,75.0,0.50,1.10,112.9224,84.7857,59.5837,18.7016,41.7147
1.70,120.0,75.0,0.80,0.50,118.2223,87.2986,65.4856,32.9033,21.6112
1.70,120.0,75.0,0.80,1.10,110.7648,85.0823,54.3865,26.2722,39.3413
1.70,150.0,30.0,0.20,0.50,95.0286,44.6857,106.6085,10.8772,32.5143
1.70,150.0,30.0,0.20,1.10,81.7700,41.6316,84.9990,8.0540,56.9470
1.70,150.0,30.0,0.50,0.50,90.4925,44.9692,96.4022,23.3515,30.2462
1.70,150.0,30.0,0.50,1.10,79.0015,42.0123,78.3300,17.7684,53.9016
1.70,150.0,30.0,0.80,0.50,87.0505,45.1843,88.6577,32.8170,28.5252
1.70,150.0,30.0,0.80,1.10,76.8063,42.3141,73.0422,25.4709,51.4869
1.70,150.0,45.0,0.20,0.50,109.5436,59.7160,105.5171,12.2111,32.2718
1.70,150.0,45.0,0.20,1.10,96.4733,56.6724,84.2843,9.0951,56.6207
1.70,150.0,45.0,0.50,0.50,104.5692,60.0269,94.3247,25.8907,29.7846
1.70,150.0,45.0,0.50,1.10,93.4074,57.0940,76.8990,19.8529,53.2481
1.70,150.0,45.0,0.80,0.50,100.8715,60.2580,86.0049,36.0593,27.9357
1.70,150.0,45.0,0.80,1.10,91.0206,57.4222,71.1496,28.2277,50.6227
1.70,150.0,60.0,0.20,0.50,124.0285,74.7482,104.3582,13.6276,32.0142
1.70,150.0,60.0,0.20,1.10,111.1561,71.7160,83.5202,10.2081,56.2717
1.70,150.0,60.0,0.50,0.50,118.6121,75.0867,92.1714,28.5225,29.3061
1.70,150.0,60.0,0.50,1.10,107.7856,72.1795,75.4012,22.0346,52.5642
1.70,150.0,60.0,0.80,0.50,114.6704,75.3331,83.3024,39.3624,27.3352
1.70,150.0,60.0,0.80,1.10,105.2113,72.5334,69.2002,31.0673,49.7325
1.70,150.0,75.0,0.20,0.50,138.4841,89.7822,103.1334,15.1246,31.7421
1.70,150.0,75.0,0.20,1.10,125.8187,86.7624,82.7073,11.3922,55.9005
1.70,150.0,75.0,0.50,0.50,132.6259,90.1484,89.9523,31.2348,28.8129
1.70,150.0,75.0,0.50,1.10,122.1386,87.2684,73.8428,24.3047,51.8525
1.70,150.0,75.0,0.80,0.50,128.4541,90.4091,80.5658,42.7072,26.7270
1.70,150.0,75.0,0.80,1.10,119.3830,87.6473,67.2049,33.9738,48.8213
1.70,180.0,30.0,0.20,0.50,107.7203,47.6425,127.2237,13.9162,38.8602
1.70,180.0,30.0,0.20,1.10,91.9728,43.9787,101.6344,10.1956,68.1700
1.70,180.0,30.0,0.50,0.50,102.0265,47.9983,114.4125,29.5743,36.0132
1.70,180.0,30.0,0.50,1.10,88.5101,44.4549,93.2934,22.3455,64.3611
1.70,180.0,30.0,0.80,0.50,97.7712,48.2643,104.8382,41.2762,33.8856
1.70,180.0,30.0,0.80,1.10,85.7935,44.8284,86.7495,31.8776,61.3728
1.70,180.0,45.0,0.20,0.50,122.1210,62.6799,125.8752,15.5642,38.5605
1.70,180.0,45.0,0.20,1.10,106.6069,59.0290,100.7532,11.4792,67.7676
1.70,180.0,45.0,0.50,0.50,115.9051,63.0684,111.8893,32.6581,35.4525
1.70,180.0,45.0,0.50,1.10,102.7862,59.5544,91.5497,24.8855,63.5648
1.70,180.0,45.0,0.80,0.50,111.3547,63.3528,101.6509,45.1718,33.1773
1.70,180.0,45.0,0.80,1.10,99.8438,59.9590,84.4620,35.2099,60.3282
1.70,180.0,60.0,0.20,0.50,136.4865,77.7196,124.4476,17.3091,38.2433
1.70,180.0,60.0,0.20,1.10,121.2168,74.0827,99.8134,12.8482,67.3385
1.70,180.0,60.0,0.50,0.50,129.7466,78.1408,109.2827,35.8440,34.8733
1.70,180.0,60.0,0.50,1.10,117.0306,74.6583,89.7296,27.5368,62.7337
1.70,180.0,60.0,0.80,0.50,124.9160,78.4427,98.4140,49.1280,32.4580
1.70,180.0,60.0,0.80,1.10,113.8683,75.0931,82.1122,38.6327,59.2551
1.70,180.0,75.0,0.20,0.50,150.8179,92.7614,122.9432,19.1479,37.9089
1.70,180.0,75.0,0.20,1.10,135.8026,89.1396,98.8157,14.3014,66.8829
1.70,180.0,75.0,0.50,0.50,143.5563,93.2152,106.6045,39.1173,34.2781
1.70,180.0,75.0,0.50,1.10,131.2464,89.7661,87.8405,30.2885,61.8710
1.70,180.0,75.0,0.80,0.50,138.4632,93.5335,95.1453,53.1231,31.7316
1.70,180.0,75.0,0.80,1.10,127.8724,90.2301,79.7131,42.1273,58.1596
1.70,210.0,30.0,0.20,0.50,120.2957,50.6065,147.5771,17.2750,45.1479
1.70,210.0,30.0,0.20,1.10,102.1197,46.3335,118.1353,12.5330,79.3316
1.70,210.0,30.0,0.50,0.50,113.3652,51.0397,131.9834,36.3340,41.6826
1.70,210.0,30.0,0.50,1.10,97.9160,46.9116,108.0094,27.2831,74.7076
1.70,210.0,30.0,0.80,0.50,108.2639,51.3585,120.5056,50.3625,39.1320
1.70,210.0,30.0,0.80,1.10,94.6531,47.3602,100.1497,38.7319,71.1184
1.70,210.0,45.0,0.20,0.50,134.5772,65.6514,145.9604,19.2511,44.7886
1.70,210.0,45.0,0.20,1.10,116.6817,61.3938,117.0803,14.0699,78.8498
1.70,210.0,45.0,0.50,0.50,127.0437,66.1223,129.0100,39.9681,41.0218
1.70,210.0,45.0,0.50,1.10,112.0595,62.0293,105.9463,30.2883,73.7655
1.70,210.0,45.0,0.80,0.50,121.6121,66.4617,116.7890,54.9050,38.3060
1.70,210.0,45.0,0.80,1.10,108.5385,62.5135,97.4649,42.6427,69.8924
1.70,210.0,60.0,0.20,0.50,148.8186,80.6988,144.2536,21.3371,44.4093
1.70,210.0,60.0,0.20,1.10,131.2156,76.4579,115.9576,15.7053,78.3372
1.70,210.0,60.0,0.50,0.50,140.6827,81.2073,125.9477,43.7109,40.3413
1.70,210.0,60.0,0.50,1.10,126.1679,77.1519,103.7985,33.4168,72.7847
1.70,210.0,60.0,0.80,0.50,134.9393,81.5663,113.0253,59.5051,37.4697
1.70,210.0,60.0,0.80,1.10,122.3967,77.6705,94.7143,46.6494,68.6363
1.70,210.0,75.0,0.20,0.50,163.0214,95.7487,142.4599,23.5293,44.0107
1.70,210.0,75.0,0.20,1.10,145.7219,91.5257,114.7684,17.4375,77.7941
1.70,210.0,75.0,0.50,0.50,154.2882,96.2945,122.8103,47.5456,39.6441
1.70,210.0,75.0,0.50,1.10,140.2447,92.2789,101.5748,36.6560,71.7692
1.70,210.0,75.0,0.80,0.50,148.2545,96.6716,109.2343,64.1385,36.6272
1.70,210.0,75.0,0.80,1.10,136.2336,92.8304,91.9127,50.7303,67.3570
1.70,240.0,30.0,0.20,0.50,132.7504,53.5781,167.6589,20.9659,51.3752
1.70,240.0,30.0,0.20,1.10,112.2086,48.6963,134.4965,15.0740,90.4294
1.70,240.0,30.0,0.50,0.50,124.5074,54.0933,149.1122,43.6341,47.2537
1.70,240.0,30.0,0.50,1.10,107.2173,49.3826,122.4735,32.5875,84.9390
1.70,240.0,30.0,0.80,0.50,118.5313,54.4668,135.6661,60.0683,44.2657
1.70,240.0,30.0,0.80,1.10,103.3848,49.9096,113.2415,46.0352,80.7232
1.70,240.0,45.0,0.20,0.50,146.9079,68.6308,165.7634,23.2827,50.9540
1.70,240.0,45.0,0.20,1.10,126.6954,63.7669,133.2604,16.8746,89.8650
1.70,240.0,45.0,0.50,0.50,137.9846,69.1885,145.6860,47.8217,46.4923
1.70,240.0,45.0,0.50,1.10,121.2259,64.5189,120.0854,36.0661,83.8485
1.70,240.0,45.0,0.80,0.50,131.6474,69.5845,131.4273,65.2490,43.3237
1.70,240.0,45.0,0.80,1.10,117.1049,65.0856,110.1586,50.5260,79.3154
1.70,240.0,60.0,0.20,0.50,161.0211,83.6862,163.7680,25.7215,50.5105
1.70,240.0,60.0,0.20,1.10,141.1506,78.8418,131.9480,18.7863,89.2656
1.70,240.0,60.0,0.50,0.50,151.4209,84.2862,142.1676,52.1219,45.7105
1.70,240.0,60.0,0.50,1.10,135.1964,79.6605,117.6055,39.6784,82.7161
1.70,240.0,60.0,0.80,0.50,144.7447,84.7035,127.1462,70.4815,42.3723
1.70,240.0,60.0,0.80,1.10,130.7970,80.2654,107.0080,55.1153,77.8767
1.70,240.0,75.0,0.20,0.50,175.0915,98.7443,161.6765,28.2778,50.0457
1.70,240.0,75.0,0.20,1.10,155.5747,93.9210,130.5608,20.8071,88.6322
1.70,240.0,75.0,0.50,0.50,164.8231,99.3861,138.5725,56.5159,44.9115
1.70,240.0,75.0,0.50,1.10,149.1330,94.8067,115.0440,43.4097,81.5463
1.70,240.0,75.0,0.80,0.50,157.8327,99.8230,122.8442,75.7394,41.4164
1.70,240.0,75.0,0.80,1.10,144.4678,95.4482,103.8062,59.7792,76.4146
2.00,120.0,30.0,0.20,0.50,87.0480,41.4345,82.1044,9.3716,28.5240
2.00,120.0,30.0,0.20,1.10,74.5324,38.8768,64.1800,6.8344,48.9856
2.00,120.0,30.0,0.50,0.50,82.6517,41.7093,73.6963,19.9779,26.3258
2.00,120.0,30.0,0.50,1.10,71.9337,39.2341,58.8592,15.0138,46.1270
2.00,120.0,30.0,0.80,0.50,79.3556,41.9153,67.3926,27.9296,24.6778
2.00,120.0,30.0,0.80,1.10,69.8889,39.5153,54.6725,21.4497,43.8778
2.00,120.0,45.0,0.20,0.50,101.5666,56.4646,81.1837,10.5330,28.2833
2.00,120.0,45.0,0.20,1.10,89.2483,53.9159,63.5984,7.7285,48.6731
2.00,120.0,45.0,0.50,0.50,96.7488,56.7657,71.9696,22.1561,25.8744
2.00,120.0,45.0,0.50,1.10,86.3702,54.3116,57.7056,16.7872,45.5073
2.00,120.0,45.0,0.80,0.50,93.2153,56.9865,65.2118,30.6806,24.1077
2.00,120.0,45.0,0.80,1.10,84.1493,54.6170,53.1581,23.7777,43.0642
2.00,120.0,60.0,0.20,0.50,116.0558,71.4965,80.2066,11.7655,28.0279
2.00,120.0,60.0,0.20,1.10,103.9446,68.9576,62.9766,8.6843,48.3391
2.00,120.0,60.0,0.50,0.50,110.8153,71.8240,70.1842,24.4081,25.4076
2.00,120.0,60.0,0.50,1.10,100.7814,69.3926,56.4999,18.6406,44.8595
2.00,120.0,60.0,0.80,0.50,107.0578,72.0589,62.9980,33.4731,23.5289
